a,b,c,d,e,f,g
6,green,Stop themselves.,0,5393.521957625429,Gabrielle Asselin,2021-06-12
5,red,Woman attorney home.,0,2042.7248461733693,Anne V�zina,2021-07-12
7,blue,For other full.,0,5175.395796635202,Aurore-H�l�ne St-Jean,2021-04-24
1,red,Though former first.,1,1310.1641168642066,Joseph Tanguay,2021-05-06
1,blue,Economy suddenly.,1,3040.208312668174,Th�odore S�guin,2021-06-11
9,green,How fact series.,1,6912.888506721971,Alain Germain,2021-03-19
6,green,Than project I.,0,6856.368015089161,Margaret M�nard,2021-04-14
9,green,Year expect trouble.,1,95.49166267468104,Victor Asselin,2021-06-26
9,blue,Lawyer time us.,0,1402.6213901308186,Aurore Desbiens,2021-06-21
1,yellow,However science us.,1,3316.434400713559,Mich�le Asselin,2021-03-23
8,red,Wind agreement.,1,2660.1148549097225,No�l Vachon,2021-03-21
4,red,Protect manager.,1,3808.673891758782,�tienne Paradis,2021-05-20
1,blue,Fire actually.,0,8843.041734370743,Emmanuel Laroche,2021-07-07
1,yellow,Ground become safe.,0,4299.285021824102,Henriette S�guin-Potvin,2021-06-07
1,red,Policy computer.,0,5730.379766855624,Henriette Marchand,2021-05-10
